season_id,model_id,origin,as_of,match_id,appearance,log_loss,brier,score_nll
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:reading:hull-city,9,1.366997627077327,0.8335805804316351,2.127817090230444
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:sunderland:cardiff-city,9,1.1284787517717059,0.7046686883779527,2.7617109893402083
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:hull-city:preston-north-end,10,1.5275453182683558,0.9687629652644307,2.925650175594641
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:ipswich-town:sunderland,10,0.85369343429387,0.49756545542434105,5.569547558570702
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:norwich-city,10,1.2540186165160407,0.7926340493268123,2.6023287934230908
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:sunderland:derby-county,1,1.397514725360933,0.8688541088383328,2.170240822248666
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:aston-villa:hull-city,1,1.3328810666815376,0.815695458037691,2.1091269193171547
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:wolverhampton-wanderers:middlesbrough,1,0.9872293254318324,0.5967347778917919,2.3611692670330715
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:hull-city:burton-albion,2,0.5578543676238097,0.27449814747610357,3.6164215916519584
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:sheffield-united,2,0.5484962762483713,0.26745208591243774,2.226272986322369
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:norwich-city:sunderland,2,1.1546149209340049,0.7285427436834306,3.4026605210797762
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:hull-city:wolverhampton-wanderers,3,1.4464229603903211,0.9183825740353916,4.071501407911844
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:burton-albion,3,0.558174418434075,0.2747310220885016,2.285349928123985
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:sheffield-wednesday:sunderland,3,1.3677346324729243,0.8452147355745827,2.1402816333190726
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:nottingham-forest:middlesbrough,4,1.0261613427609495,0.6271366739076557,2.5725953783732294
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:queens-park-rangers:hull-city,4,1.0400261278251166,0.6367525440940726,2.5830351674682888
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:sunderland:leeds-united,4,1.315684625192845,0.8312785466487321,3.1740370561164597
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:hull-city:bolton-wanderers,5,0.46868870048202166,0.21061111427445922,3.2534074567651663
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:barnsley:sunderland,5,1.0307709022760578,0.6310354140013138,3.635299171094324
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:preston-north-end,5,1.4517063405666666,0.9195104415906488,2.7414180746597356
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:derby-county:hull-city,6,0.8523241298458054,0.4957340836960024,5.316750270890176
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:bolton-wanderers:middlesbrough,6,0.7662864472653106,0.43088267807182157,3.1510240103603997
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:sunderland:sheffield-united,6,1.5829661033530933,1.0109708323135083,2.985590892243998
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:aston-villa:middlesbrough,7,1.3354957995390693,0.8172881442207246,2.4690850941103806
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:sunderland:nottingham-forest,7,1.5028406193296957,0.9583378114014055,2.7783311211338555
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:fulham:hull-city,7,0.7777209608987571,0.4407323169931597,2.444731808588511
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:hull-city:sunderland,8,1.423657757733595,0.8762117450265217,2.211488136881493
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:queens-park-rangers,8,0.5961248822632552,0.3025279981151172,3.575387896384926
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:fulham:middlesbrough,9,1.4456350275886958,0.8883146778763502,2.230801379627138
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:reading:hull-city,9,1.3961661148659934,0.8495869825010902,2.171478201854627
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:sunderland:cardiff-city,9,1.354570609147372,0.8595370378631652,2.795281891820604
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:hull-city:preston-north-end,10,1.4154693878597269,0.9014452993451743,2.8381962111865406
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:ipswich-town:sunderland,10,1.0153478745974795,0.6173191647029773,6.044886817081812
2017-2018,generic,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:norwich-city,10,1.2223442832380436,0.777121869041547,2.771139623776172
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:sunderland:derby-county,1,1.3749011051325903,0.8526058243406782,2.149580995071859
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:aston-villa:hull-city,1,1.3707794828479902,0.8415814538182452,2.1434565311423643
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:wolverhampton-wanderers:middlesbrough,1,1.1397932341788617,0.7019416284833374,2.2600549324437123
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:hull-city:burton-albion,2,0.6049411066338461,0.3090289318221319,3.6256229295613465
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:sheffield-united,2,0.5102149355207642,0.24083944810072713,2.0110847786710577
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:norwich-city:sunderland,2,1.184174198037295,0.7482090409897153,3.459376074618773
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:hull-city:wolverhampton-wanderers,3,1.3307499460982575,0.8458227870797489,3.8817014606815947
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:burton-albion,3,0.5191415505458741,0.24780805701668998,2.131787829876738
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:sheffield-wednesday:sunderland,3,1.3560766870376761,0.840719300232401,2.132649736626762
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:nottingham-forest:middlesbrough,4,1.178847091103425,0.7313673082866852,2.7220839437438977
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:queens-park-rangers:hull-city,4,0.944170424935232,0.5670196158455212,2.5227990784699785
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:sunderland:leeds-united,4,1.2909732022905738,0.812449941321447,3.11820685698779
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:hull-city:bolton-wanderers,5,0.5125595213824796,0.24135447560552337,3.364043967963859
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:barnsley:sunderland,5,1.013935038475594,0.6174640588471267,3.5991390875902463
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:preston-north-end,5,1.4178085354737022,0.920489086436033,2.4574776434084846
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:derby-county:hull-city,6,0.761828552928114,0.4276700918509737,4.985919686529319
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:bolton-wanderers:middlesbrough,6,0.7046534794233504,0.38363850709787195,3.013238153069783
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:sunderland:sheffield-united,6,1.5523646190532718,0.9890879801192172,2.9699468309708417
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:aston-villa:middlesbrough,7,1.2597738762350534,0.770319459712737,2.1767259854948784
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:sunderland:nottingham-forest,7,1.472211680492893,0.9361943799111045,2.7039084398668836
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:fulham:hull-city,7,0.6901438573229596,0.37411257992138297,2.4206430543707045
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:hull-city:sunderland,8,1.4266975594857019,0.8716273905707621,2.2192575291869003
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:queens-park-rangers,8,0.5479349457955165,0.2681154162996868,3.839825187947344
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:fulham:middlesbrough,9,1.3600303185424722,0.8302313373049165,2.1406307099147384
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:reading:hull-city,9,1.4317502908157438,0.8733307722466891,2.216516055223062
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:sunderland:cardiff-city,9,1.3300645600396197,0.8409539440248428,2.7856128234359065
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:hull-city:preston-north-end,10,1.3021959242878012,0.8287750919444601,2.750686740215336
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:ipswich-town:sunderland,10,0.9982773103842492,0.6038645258022706,6.124094761477019
2017-2018,mapped,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:norwich-city,10,1.3776462966939165,0.8759060167903093,2.6574833423266835
2018-2019,retained,preseason,2018-08-03,eng-championship:2018-2019:sheffield-united:swansea-city,1,1.107060713874109,0.6844812296767037,2.637428006765652
