competition_id,model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
eng-championship,M2,MW30,promotion,0.6,0.7,7,0.6490571428571429,0.7142857142857143
eng-championship,M2,MW30,promotion,0.7,0.8,7,0.7565857142857144,0.7142857142857143
eng-championship,M2,MW30,promotion,0.8,0.9,0,,
eng-championship,M2,MW30,promotion,0.9,1.0,11,0.9638272727272725,1.0
eng-championship,M2,MW30,relegation,0.0,0.1,202,0.007455445544554454,0.009900990099009901
eng-championship,M2,MW30,relegation,0.1,0.2,14,0.1561,0.21428571428571427
eng-championship,M2,MW30,relegation,0.2,0.3,8,0.246825,0.125
eng-championship,M2,MW30,relegation,0.3,0.4,8,0.34406250000000005,0.5
eng-championship,M2,MW30,relegation,0.4,0.5,5,0.48086,0.4
eng-championship,M2,MW30,relegation,0.5,0.6,3,0.5636333333333333,0.3333333333333333
eng-championship,M2,MW30,relegation,0.6,0.7,4,0.6575249999999999,0.75
eng-championship,M2,MW30,relegation,0.7,0.8,5,0.75602,0.8
eng-championship,M2,MW30,relegation,0.8,0.9,4,0.8613,1.0
eng-championship,M2,MW30,relegation,0.9,1.0,11,0.9664454545454546,0.8181818181818182
eng-championship,M2,MW30,title,0.0,0.1,238,0.0025197478991596635,0.0
eng-championship,M2,MW30,title,0.1,0.2,8,0.1339875,0.125
eng-championship,M2,MW30,title,0.2,0.3,6,0.23816666666666667,0.16666666666666666
eng-championship,M2,MW30,title,0.3,0.4,3,0.35263333333333335,0.6666666666666666
eng-championship,M2,MW30,title,0.4,0.5,1,0.4398,0.0
eng-championship,M2,MW30,title,0.5,0.6,0,,
eng-championship,M2,MW30,title,0.6,0.7,3,0.6309666666666667,0.6666666666666666
eng-championship,M2,MW30,title,0.7,0.8,1,0.7888,1.0
eng-championship,M2,MW30,title,0.8,0.9,1,0.874,1.0
eng-championship,M2,MW30,title,0.9,1.0,3,0.9486666666666667,1.0
eng-championship,M2,MW6,points_pit,0.0,0.1,54,0.03716399648715503,0.20454545454545456
eng-championship,M2,MW6,points_pit,0.1,0.2,20,0.15017471867211538,0.07575757575757576
eng-championship,M2,MW6,points_pit,0.2,0.3,27,0.24104812520249286,0.10227272727272728
eng-championship,M2,MW6,points_pit,0.3,0.4,18,0.34797295136143075,0.06818181818181818
eng-championship,M2,MW6,points_pit,0.4,0.5,17,0.4620796849359028,0.06439393939393939
eng-championship,M2,MW6,points_pit,0.5,0.6,16,0.5539596494877295,0.06060606060606061
eng-championship,M2,MW6,points_pit,0.6,0.7,22,0.6426898546982754,0.08333333333333333
eng-championship,M2,MW6,points_pit,0.7,0.8,16,0.7534790082534758,0.06060606060606061
eng-championship,M2,MW6,points_pit,0.8,0.9,24,0.8557682170835563,0.09090909090909091
eng-championship,M2,MW6,points_pit,0.9,1.0,50,0.9699893145288729,0.1893939393939394
eng-championship,M2,MW6,rank_pit,0.0,0.1,46,0.04007026157623442,0.17424242424242425
eng-championship,M2,MW6,rank_pit,0.1,0.2,26,0.15197350540958227,0.09848484848484848
eng-championship,M2,MW6,rank_pit,0.2,0.3,23,0.23701955920930837,0.08712121212121213
eng-championship,M2,MW6,rank_pit,0.3,0.4,22,0.35525129317132187,0.08333333333333333
eng-championship,M2,MW6,rank_pit,0.4,0.5,13,0.43705621584803744,0.04924242424242424
eng-championship,M2,MW6,rank_pit,0.5,0.6,23,0.5518157122332511,0.08712121212121213
eng-championship,M2,MW6,rank_pit,0.6,0.7,22,0.6566483128782674,0.08333333333333333
eng-championship,M2,MW6,rank_pit,0.7,0.8,19,0.76418049673813,0.07196969696969698
eng-championship,M2,MW6,rank_pit,0.8,0.9,20,0.8349854362959623,0.07575757575757576
eng-championship,M2,MW6,rank_pit,0.9,1.0,50,0.9567434901874324,0.1893939393939394
eng-championship,M2,MW6,automatic_promotion,0.0,0.1,208,0.014342307692307694,0.009615384615384616
eng-championship,M2,MW6,automatic_promotion,0.1,0.2,17,0.14187647058823527,0.17647058823529413
eng-championship,M2,MW6,automatic_promotion,0.2,0.3,13,0.2375,0.38461538461538464
eng-championship,M2,MW6,automatic_promotion,0.3,0.4,5,0.36868,0.2
eng-championship,M2,MW6,automatic_promotion,0.4,0.5,8,0.4532625,0.75
eng-championship,M2,MW6,automatic_promotion,0.5,0.6,7,0.5546571428571428,0.2857142857142857
eng-championship,M2,MW6,automatic_promotion,0.6,0.7,5,0.6606,0.4
eng-championship,M2,MW6,automatic_promotion,0.7,0.8,0,,
eng-championship,M2,MW6,automatic_promotion,0.8,0.9,1,0.8623000000000001,1.0
eng-championship,M2,MW6,automatic_promotion,0.9,1.0,0,,
eng-championship,M2,MW6,playoff_qualification,0.0,0.1,126,0.03387142857142857,0.10317460317460317
eng-championship,M2,MW6,playoff_qualification,0.1,0.2,38,0.13807631578947366,0.07894736842105263
eng-championship,M2,MW6,playoff_qualification,0.2,0.3,39,0.2514717948717949,0.23076923076923078
eng-championship,M2,MW6,playoff_qualification,0.3,0.4,30,0.3550266666666666,0.2
eng-championship,M2,MW6,playoff_qualification,0.4,0.5,26,0.43427307692307693,0.46153846153846156
eng-championship,M2,MW6,playoff_qualification,0.5,0.6,4,0.526275,0.25
eng-championship,M2,MW6,playoff_qualification,0.6,0.7,1,0.6309,0.0
eng-championship,M2,MW6,playoff_qualification,0.7,0.8,0,,
eng-championship,M2,MW6,playoff_qualification,0.8,0.9,0,,
eng-championship,M2,MW6,playoff_qualification,0.9,1.0,0,,
eng-championship,M2,MW6,promotion,0.0,0.1,184,0.02174945652173913,0.03260869565217391
eng-championship,M2,MW6,promotion,0.1,0.2,25,0.132548,0.12
eng-championship,M2,MW6,promotion,0.2,0.3,13,0.2375846153846154,0.3076923076923077
eng-championship,M2,MW6,promotion,0.3,0.4,13,0.3310923076923077,0.3076923076923077
eng-championship,M2,MW6,promotion,0.4,0.5,5,0.43900000000000006,0.4
eng-championship,M2,MW6,promotion,0.5,0.6,7,0.5707285714285715,0.5714285714285714
eng-championship,M2,MW6,promotion,0.6,0.7,10,0.6609200000000001,0.6
eng-championship,M2,MW6,promotion,0.7,0.8,5,0.75168,0.6
eng-championship,M2,MW6,promotion,0.8,0.9,1,0.8071,0.0
eng-championship,M2,MW6,promotion,0.9,1.0,1,0.9268000000000001,1.0
eng-championship,M2,MW6,relegation,0.0,0.1,175,0.024226857142857144,0.04
eng-championship,M2,MW6,relegation,0.1,0.2,36,0.1425944444444444,0.2777777777777778
eng-championship,M2,MW6,relegation,0.2,0.3,20,0.25656,0.1
eng-championship,M2,MW6,relegation,0.3,0.4,8,0.3595,0.375
eng-championship,M2,MW6,relegation,0.4,0.5,9,0.4544222222222223,0.4444444444444444
eng-championship,M2,MW6,relegation,0.5,0.6,4,0.5499,0.5
eng-championship,M2,MW6,relegation,0.6,0.7,4,0.6266499999999999,0.25
eng-championship,M2,MW6,relegation,0.7,0.8,3,0.7822333333333334,0.6666666666666666
eng-championship,M2,MW6,relegation,0.8,0.9,3,0.8565999999999999,0.3333333333333333
eng-championship,M2,MW6,relegation,0.9,1.0,2,0.9536,0.5
eng-championship,M2,MW6,title,0.0,0.1,229,0.009811353711790392,0.017467248908296942
eng-championship,M2,MW6,title,0.1,0.2,14,0.1307857142857143,0.14285714285714285
eng-championship,M2,MW6,title,0.2,0.3,9,0.23715555555555554,0.3333333333333333
eng-championship,M2,MW6,title,0.3,0.4,7,0.3409428571428571,0.14285714285714285
eng-championship,M2,MW6,title,0.4,0.5,4,0.43427499999999997,0.25
eng-championship,M2,MW6,title,0.5,0.6,0,,
eng-championship,M2,MW6,title,0.6,0.7,1,0.6641,0.0
eng-championship,M2,MW6,title,0.7,0.8,0,,
eng-championship,M2,MW6,title,0.8,0.9,0,,
eng-championship,M2,MW6,title,0.9,1.0,0,,
eng-championship,M2,preseason,points_pit,0.0,0.1,52,0.03601724462557879,0.19696969696969696
eng-championship,M2,preseason,points_pit,0.1,0.2,31,0.1511078460888244,0.11742424242424243
