model_id,outcome,bin_lower,bin_upper,count,mean_prediction,observed_frequency
market:market_average_preclosing,D,0.2,0.3,1152,0.25998188189949123,0.2465277777777778
market:market_average_preclosing,D,0.3,0.4,74,0.30640701713599033,0.25675675675675674
market:market_average_preclosing,D,0.4,0.5,0,,
market:market_average_preclosing,D,0.5,0.6,0,,
market:market_average_preclosing,D,0.6,0.7,0,,
market:market_average_preclosing,D,0.7,0.8,0,,
market:market_average_preclosing,D,0.8,0.9,0,,
market:market_average_preclosing,D,0.9,1.0,0,,
market:market_average_preclosing,A,0.0,0.1,135,0.06798357756592371,0.0962962962962963
market:market_average_preclosing,A,0.1,0.2,294,0.15043911674992833,0.16326530612244897
market:market_average_preclosing,A,0.2,0.3,331,0.2533809826011093,0.26586102719033233
market:market_average_preclosing,A,0.3,0.4,302,0.34834829078453877,0.347682119205298
market:market_average_preclosing,A,0.4,0.5,183,0.44667169248315375,0.44808743169398907
market:market_average_preclosing,A,0.5,0.6,131,0.5453923513294017,0.549618320610687
market:market_average_preclosing,A,0.6,0.7,80,0.6426868877649441,0.625
market:market_average_preclosing,A,0.7,0.8,55,0.7341774197791427,0.7636363636363637
market:market_average_preclosing,A,0.8,0.9,9,0.8151248549111348,0.7777777777777778
market:market_average_preclosing,A,0.9,1.0,0,,
