season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2020-2021,M7,preseason,20,1,-0.32846499999999884,11.06778034835802,3,1.3731000000000009,2,0.1086337304868421,6.325125690500002,9.651861303735739,0.35,13.2,0.8,24.95,0.85,31.55,0.95,37.85,0.004743082999999998,0.02490923825,0.095747483
2021-2022,M2,MW12,20,1,-0.21714500000000053,7.742079204935844,3,5.9476,2,0.06368150061842105,4.3828246895000005,6.2272658575720445,0.55,8.5,0.7,16.1,0.85,20.45,0.85,24.25,0.010081230999999998,0.046663655,0.069958477
2021-2022,M2,MW19,20,1,-0.2972349999999997,6.5013722578006545,3,2.832666666666666,2,0.04916776288157895,3.5280743134999986,5.247161926243338,0.5,7.0,0.85,13.5,0.85,17.35,0.85,20.25,0.0001358889999999998,0.03766578875,0.054013447000000006
2021-2022,M2,MW30,20,1,-0.06795999999999988,4.355000188978182,3,0.9842666666666666,2,0.04248006240789474,2.5544134709999993,3.393688392197941,0.45,4.7,0.7,8.85,0.8,11.3,0.9,13.15,0.008602489000000001,0.02541037775,0.035098914999999994
2021-2022,M2,MW6,20,1,-0.12016999999999936,9.188407843146708,3,7.587566666666667,2,0.08845994476315791,5.520453935,6.877508040368222,0.35,9.4,0.6,17.65,0.75,22.7,0.85,26.8,0.004911804000000003,0.06797332475,0.04524050575
2021-2022,M2,preseason,20,1,-0.08885000000000183,9.438752436736541,3,6.606933333333333,3,0.08687651096052632,5.491890257,7.547101470821995,0.35,10.15,0.8,19.25,0.85,25.0,0.85,29.6,0.003085241999999997,0.06713545724999999,0.05918494775000001
2021-2022,M4,MW12,20,1,-0.1531499999999994,8.116364355362567,3,6.568700000000002,2,0.06994195332894736,4.647990556000001,7.86946057505956,0.5,10.7,0.8,20.4,0.9,25.85,0.9,30.75,0.023085776,0.052458932,0.07204222499999999
2021-2022,M4,MW19,20,1,-0.22639499999999976,6.358174629364942,3,3.1037666666666675,2,0.04942180731578947,3.4056012865,6.2136338183566755,0.7,8.55,0.85,16.05,0.9,20.5,0.9,24.1,0.000482051999999998,0.040468820749999995,0.05155021499999999
2021-2022,M4,MW30,20,1,-0.05738500000000002,4.362957711060239,3,1.5033666666666647,2,0.04338462517105263,2.5619026894999988,3.6634154418150944,0.5,4.95,0.75,9.5,0.8,12.0,0.9,14.05,0.012411532000000001,0.02582056725000001,0.037276671
2021-2022,M4,MW6,20,1,-0.11135999999999982,9.426319740121274,3,6.703666666666668,2,0.0827750429473684,5.436461054,9.144309552391316,0.4,12.5,0.8,23.6,0.85,30.1,1.0,35.85,0.010940904,0.06971627825000001,0.05188751599999999
2021-2022,M4,preseason,20,1,-0.059210000000000915,10.135537957898439,3,7.316233333333334,2,0.08965919756578947,5.855762108000001,10.691911628112926,0.5,14.6,0.8,27.55,0.95,35.05,0.95,41.55,0.009763000999999997,0.07674479425,0.08411349125
2021-2022,M5,MW12,20,1,-0.23236500000000007,8.203010297902837,3,6.4800999999999975,2,0.06799345028947368,4.704975365500001,7.550975090069585,0.55,10.35,0.75,19.45,0.85,24.8,0.95,29.6,0.017807931,0.046127549999999996,0.071798535
