model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M4,MW19,relegation,0.8,0.9,7,0.846442857142857,0.8571428571428571
M4,MW19,relegation,0.9,1.0,7,0.9579142857142857,1.0
M4,MW30,pit,0.0,0.1,29,0.05597107216181819,0.1318181818181818
M4,MW30,pit,0.1,0.2,24,0.14146036053426983,0.10909090909090909
M4,MW30,pit,0.2,0.3,17,0.2472352083713495,0.07727272727272727
M4,MW30,pit,0.3,0.4,18,0.35510390498324873,0.08181818181818182
M4,MW30,pit,0.4,0.5,22,0.4457163532106429,0.1
M4,MW30,pit,0.5,0.6,19,0.5504840074726209,0.08636363636363636
M4,MW30,pit,0.6,0.7,24,0.6467459796926094,0.10909090909090909
M4,MW30,pit,0.7,0.8,13,0.7488905260699114,0.05909090909090909
M4,MW30,pit,0.8,0.9,30,0.8628460093173286,0.13636363636363635
M4,MW30,pit,0.9,1.0,24,0.9523637389915813,0.10909090909090909
M4,MW30,title,0.0,0.1,202,0.0006757425742574258,0.0
M4,MW30,title,0.1,0.2,1,0.1362,0.0
M4,MW30,title,0.2,0.3,2,0.212625,0.5
M4,MW30,title,0.3,0.4,3,0.3633,0.0
M4,MW30,title,0.4,0.5,2,0.461325,0.0
M4,MW30,title,0.5,0.6,1,0.5056,1.0
M4,MW30,title,0.6,0.7,2,0.63715,1.0
M4,MW30,title,0.7,0.8,1,0.7089,1.0
M4,MW30,title,0.8,0.9,1,0.8632,1.0
M4,MW30,title,0.9,1.0,5,0.9875,1.0
M4,MW30,top_four,0.0,0.1,155,0.003349032258064516,0.0
M4,MW30,top_four,0.1,0.2,6,0.15633333333333335,0.0
M4,MW30,top_four,0.2,0.3,5,0.24216,0.6
M4,MW30,top_four,0.3,0.4,9,0.3480666666666667,0.2222222222222222
M4,MW30,top_four,0.4,0.5,4,0.4647375,0.5
M4,MW30,top_four,0.5,0.6,4,0.5399875,1.0
M4,MW30,top_four,0.6,0.7,3,0.6678666666666665,0.3333333333333333
M4,MW30,top_four,0.7,0.8,5,0.76148,1.0
M4,MW30,top_four,0.8,0.9,2,0.8506,0.5
M4,MW30,top_four,0.9,1.0,27,0.9877185185185184,0.9629629629629629
M4,MW30,relegation,0.0,0.1,169,0.004198224852071006,0.0
M4,MW30,relegation,0.1,0.2,4,0.14126249999999999,0.25
M4,MW30,relegation,0.2,0.3,10,0.25122,0.2
M4,MW30,relegation,0.3,0.4,1,0.36860000000000004,1.0
M4,MW30,relegation,0.4,0.5,4,0.43620000000000003,0.75
M4,MW30,relegation,0.5,0.6,4,0.5458375,0.25
M4,MW30,relegation,0.6,0.7,4,0.6481625,0.5
M4,MW30,relegation,0.7,0.8,4,0.742575,0.75
M4,MW30,relegation,0.8,0.9,2,0.8438749999999999,1.0
M4,MW30,relegation,0.9,1.0,18,0.9814333333333334,1.0
M4,MW6,pit,0.0,0.1,33,0.05204674876986647,0.15
M4,MW6,pit,0.1,0.2,21,0.15581718262278954,0.09545454545454546
M4,MW6,pit,0.2,0.3,14,0.2562520651031121,0.06363636363636363
M4,MW6,pit,0.3,0.4,15,0.3485818928604443,0.06818181818181818
M4,MW6,pit,0.4,0.5,26,0.4520857319230341,0.11818181818181818
M4,MW6,pit,0.5,0.6,25,0.5470208046622791,0.11363636363636363
M4,MW6,pit,0.6,0.7,20,0.6562003611967272,0.09090909090909091
M4,MW6,pit,0.7,0.8,23,0.7606043198432161,0.10454545454545454
M4,MW6,pit,0.8,0.9,20,0.8519033490009447,0.09090909090909091
M4,MW6,pit,0.9,1.0,23,0.9547486621984175,0.10454545454545454
M4,MW6,title,0.0,0.1,190,0.006276052631578948,0.010526315789473684
M4,MW6,title,0.1,0.2,13,0.1420346153846154,0.07692307692307693
M4,MW6,title,0.2,0.3,3,0.24949999999999997,0.0
M4,MW6,title,0.3,0.4,3,0.3564,0.3333333333333333
M4,MW6,title,0.4,0.5,4,0.48033750000000003,0.25
M4,MW6,title,0.5,0.6,5,0.55062,1.0
M4,MW6,title,0.6,0.7,0,,
M4,MW6,title,0.7,0.8,2,0.734475,0.5
M4,MW6,title,0.8,0.9,0,,
M4,MW6,title,0.9,1.0,0,,
M4,MW6,top_four,0.0,0.1,133,0.015099248120300748,0.022556390977443608
M4,MW6,top_four,0.1,0.2,20,0.14229,0.25
M4,MW6,top_four,0.2,0.3,16,0.24091249999999997,0.1875
M4,MW6,top_four,0.3,0.4,10,0.355135,0.3
M4,MW6,top_four,0.4,0.5,2,0.4845,1.0
M4,MW6,top_four,0.5,0.6,7,0.5558142857142858,0.42857142857142855
M4,MW6,top_four,0.6,0.7,4,0.6389499999999999,0.5
M4,MW6,top_four,0.7,0.8,9,0.76055,0.7777777777777778
M4,MW6,top_four,0.8,0.9,6,0.8420916666666667,0.5
