competition_id,season_id,team_id,treatment,transition,memory_age,age_bucket,dimension,target,prior_mean,prior_sd,prior_source,realized,realized_variance,squared_error,log_score
eng-premier-league,2020-2021,west-bromwich-albion,source,eng-championship->eng-premier-league,3.0,recent_returner,defense,season,-0.16099263669676728,0.1438981148325961,source entry prior,-0.39078806356521717,0.012674386798217906,0.052805938209653104,0.010011861973958425
eng-premier-league,2020-2021,fulham,memory,eng-championship->eng-premier-league,2.0,recent_returner,attack,entry,-0.26173419400757997,0.11351478206125509,memory entry prior,-0.1840302876344777,0.0820746482397451,0.006037897065639842,-0.22641818721112855
eng-premier-league,2020-2021,fulham,memory,eng-championship->eng-premier-league,2.0,recent_returner,attack,season,-0.26173419400757997,0.11351478206125509,memory entry prior,-0.5474998212549023,0.03103036484161311,0.08166199371605555,0.28595272347778256
eng-premier-league,2020-2021,fulham,memory,eng-championship->eng-premier-league,2.0,recent_returner,defense,entry,-0.18954184068071797,0.19579676902852045,memory entry prior,-0.4009530079935672,0.05102288904189346,0.04469468166458153,-0.038522438890879085
eng-premier-league,2020-2021,fulham,memory,eng-championship->eng-premier-league,2.0,recent_returner,defense,season,-0.18954184068071797,0.19579676902852045,memory entry prior,-0.030958833803819898,0.017391598796634294,0.025148570070118306,-0.2990611255059745
eng-premier-league,2020-2021,leeds-united,memory,eng-championship->eng-premier-league,,no_target_history,attack,entry,-0.2326940442294517,0.0884677772103001,memory entry prior,0.189899122841366,0.06325070331744262,0.17858498485494406,0.853218417820855
eng-premier-league,2020-2021,leeds-united,memory,eng-championship->eng-premier-league,,no_target_history,attack,season,-0.2326940442294517,0.0884677772103001,memory entry prior,0.23957903198343597,0.015269004934943523,0.223041858515584,3.8635564517075673
eng-premier-league,2020-2021,leeds-united,memory,eng-championship->eng-premier-league,,no_target_history,defense,entry,-0.1340369754990193,0.149857825589756,memory entry prior,-0.2632384488037294,0.05638007801556955,0.01669302070410771,-0.24537519079104697
eng-premier-league,2020-2021,leeds-united,memory,eng-championship->eng-premier-league,,no_target_history,defense,season,-0.1340369754990193,0.149857825589756,memory entry prior,-0.0822023362988681,0.017160914253701972,0.0026868298210098516,-0.6613848010805093
eng-premier-league,2020-2021,west-bromwich-albion,memory,eng-championship->eng-premier-league,3.0,recent_returner,attack,entry,-0.22395738063336365,0.09339831229928836,memory entry prior,-0.5199951998772498,0.1173709581449538,0.08763839042267582,0.2310871048249578
